tenant_id,session_id,user_id,timestamp,deployment_type,channel,l1_domain,l2_module,l3_feature,l4_action,l5_deployment_node,duration_ms,success,metadata,feedback_text,churn_label
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e4400bb851626c4425c52c4db2115e8c6155680b3d42569fe0a4128792fc9ef3,552f11f9351e3a2b664e9e8e9b0607d508a5c29d9901bb7131b708692d09dfec,2026-01-24 04:43:12.700866+00:00,cloud,mobile,origination,loan_engine,income_verification,complete,aws-us-east-1,1737,True,"{'session_index': 0, 'tenant_index': 0}","The loan offer page never loads properly, very frustrating.",1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e4400bb851626c4425c52c4db2115e8c6155680b3d42569fe0a4128792fc9ef3,552f11f9351e3a2b664e9e8e9b0607d508a5c29d9901bb7131b708692d09dfec,2026-01-24 04:45:23.700866+00:00,cloud,mobile,origination,kyc_engine,doc_upload,complete,aws-us-east-1,1860,True,"{'session_index': 0, 'tenant_index': 0}",,1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e4400bb851626c4425c52c4db2115e8c6155680b3d42569fe0a4128792fc9ef3,552f11f9351e3a2b664e9e8e9b0607d508a5c29d9901bb7131b708692d09dfec,2026-01-24 04:49:27.700866+00:00,cloud,mobile,origination,kyc_engine,kyc_check,complete,aws-us-east-1,93,True,"{'session_index': 0, 'tenant_index': 0}",,1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e4400bb851626c4425c52c4db2115e8c6155680b3d42569fe0a4128792fc9ef3,552f11f9351e3a2b664e9e8e9b0607d508a5c29d9901bb7131b708692d09dfec,2026-01-24 04:51:49.700866+00:00,cloud,mobile,origination,kyc_engine,doc_upload,complete,aws-us-east-1,1634,True,"{'session_index': 0, 'tenant_index': 0}",,1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e4400bb851626c4425c52c4db2115e8c6155680b3d42569fe0a4128792fc9ef3,552f11f9351e3a2b664e9e8e9b0607d508a5c29d9901bb7131b708692d09dfec,2026-01-24 04:56:08.700866+00:00,cloud,mobile,origination,loan_engine,drop_off,fail,aws-us-east-1,1730,False,"{'session_index': 0, 'tenant_index': 0}",,1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,dd03ccf9328726fb231f31ac016c1037c340c112438b430d0adc63b0c693556e,2568d4c15d14af49f78dc5f942ee3b75e81b86a0f067ff632eec6c53dbff14bb,2026-02-03 18:24:13.076483+00:00,on_prem,api,origination,loan_engine,login,complete,dc-chennai-03,413,True,"{'session_index': 1, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,dd03ccf9328726fb231f31ac016c1037c340c112438b430d0adc63b0c693556e,2568d4c15d14af49f78dc5f942ee3b75e81b86a0f067ff632eec6c53dbff14bb,2026-02-03 18:25:18.076483+00:00,on_prem,api,origination,kyc_engine,kyc_check,complete,dc-chennai-03,838,True,"{'session_index': 1, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,dd03ccf9328726fb231f31ac016c1037c340c112438b430d0adc63b0c693556e,2568d4c15d14af49f78dc5f942ee3b75e81b86a0f067ff632eec6c53dbff14bb,2026-02-03 18:26:11.076483+00:00,on_prem,api,origination,kyc_engine,doc_upload,complete,dc-chennai-03,807,True,"{'session_index': 1, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,dd03ccf9328726fb231f31ac016c1037c340c112438b430d0adc63b0c693556e,2568d4c15d14af49f78dc5f942ee3b75e81b86a0f067ff632eec6c53dbff14bb,2026-02-03 18:28:37.076483+00:00,on_prem,api,origination,loan_engine,income_verification,complete,dc-chennai-03,509,True,"{'session_index': 1, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,dd03ccf9328726fb231f31ac016c1037c340c112438b430d0adc63b0c693556e,2568d4c15d14af49f78dc5f942ee3b75e81b86a0f067ff632eec6c53dbff14bb,2026-02-03 18:31:35.076483+00:00,on_prem,api,origination,credit_engine,bureau_pull,complete,dc-chennai-03,5690,True,"{'session_index': 1, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,dd03ccf9328726fb231f31ac016c1037c340c112438b430d0adc63b0c693556e,2568d4c15d14af49f78dc5f942ee3b75e81b86a0f067ff632eec6c53dbff14bb,2026-02-03 18:32:45.076483+00:00,on_prem,api,origination,credit_engine,credit_scoring,complete,dc-chennai-03,626,True,"{'session_index': 1, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,dd03ccf9328726fb231f31ac016c1037c340c112438b430d0adc63b0c693556e,2568d4c15d14af49f78dc5f942ee3b75e81b86a0f067ff632eec6c53dbff14bb,2026-02-03 18:35:14.076483+00:00,on_prem,api,origination,loan_engine,loan_offer_view,complete,dc-chennai-03,1517,True,"{'session_index': 1, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,dd03ccf9328726fb231f31ac016c1037c340c112438b430d0adc63b0c693556e,2568d4c15d14af49f78dc5f942ee3b75e81b86a0f067ff632eec6c53dbff14bb,2026-02-03 18:36:35.076483+00:00,on_prem,api,origination,loan_engine,manual_review,complete,dc-chennai-03,1998,True,"{'session_index': 1, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,dd03ccf9328726fb231f31ac016c1037c340c112438b430d0adc63b0c693556e,2568d4c15d14af49f78dc5f942ee3b75e81b86a0f067ff632eec6c53dbff14bb,2026-02-03 18:40:19.076483+00:00,on_prem,api,origination,loan_engine,loan_accept,complete,dc-chennai-03,1479,True,"{'session_index': 1, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,dd03ccf9328726fb231f31ac016c1037c340c112438b430d0adc63b0c693556e,2568d4c15d14af49f78dc5f942ee3b75e81b86a0f067ff632eec6c53dbff14bb,2026-02-03 18:43:11.076483+00:00,on_prem,api,origination,credit_engine,credit_scoring,complete,dc-chennai-03,1407,True,"{'session_index': 1, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,dd03ccf9328726fb231f31ac016c1037c340c112438b430d0adc63b0c693556e,2568d4c15d14af49f78dc5f942ee3b75e81b86a0f067ff632eec6c53dbff14bb,2026-02-03 18:47:33.076483+00:00,on_prem,api,origination,loan_engine,disbursement,complete,dc-chennai-03,226,True,"{'session_index': 1, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,c0e883a4209aacf9b77e158a561f20372fb9e949df30f5b066e1dcf8a35a2a45,8c9ba946152241bbe665186c8aeab1f9eac4960a475f915e9faa3147f7743bc4,2026-03-10 04:53:30.524934+00:00,cloud,web,origination,loan_engine,login,complete,gcp-us-central1,215,True,"{'session_index': 2, 'tenant_index': 0}",,1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,c0e883a4209aacf9b77e158a561f20372fb9e949df30f5b066e1dcf8a35a2a45,8c9ba946152241bbe665186c8aeab1f9eac4960a475f915e9faa3147f7743bc4,2026-03-10 04:54:16.524934+00:00,cloud,web,origination,kyc_engine,kyc_check,complete,gcp-us-central1,512,True,"{'session_index': 2, 'tenant_index': 0}",,1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,c0e883a4209aacf9b77e158a561f20372fb9e949df30f5b066e1dcf8a35a2a45,8c9ba946152241bbe665186c8aeab1f9eac4960a475f915e9faa3147f7743bc4,2026-03-10 04:57:27.524934+00:00,cloud,web,origination,loan_engine,manual_review,complete,gcp-us-central1,1950,True,"{'session_index': 2, 'tenant_index': 0}",,1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,c0e883a4209aacf9b77e158a561f20372fb9e949df30f5b066e1dcf8a35a2a45,8c9ba946152241bbe665186c8aeab1f9eac4960a475f915e9faa3147f7743bc4,2026-03-10 05:01:22.524934+00:00,cloud,web,origination,loan_engine,drop_off,fail,gcp-us-central1,1241,False,"{'session_index': 2, 'tenant_index': 0}",,1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e535806376492c40896a253cab2a2a62195278d38e781d40318ba3e917b20908,886472ddcb5de632aa8da8413c4e0729537e15593d48fbbf0dc50e9b8cec9ca4,2026-03-29 17:58:18.331068+00:00,cloud,api,origination,loan_engine,login,complete,aws-eu-west-1,868,True,"{'session_index': 3, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e535806376492c40896a253cab2a2a62195278d38e781d40318ba3e917b20908,886472ddcb5de632aa8da8413c4e0729537e15593d48fbbf0dc50e9b8cec9ca4,2026-03-29 18:03:00.331068+00:00,cloud,api,origination,credit_engine,bureau_pull,complete,aws-eu-west-1,861,True,"{'session_index': 3, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e535806376492c40896a253cab2a2a62195278d38e781d40318ba3e917b20908,886472ddcb5de632aa8da8413c4e0729537e15593d48fbbf0dc50e9b8cec9ca4,2026-03-29 18:04:16.331068+00:00,cloud,api,origination,loan_engine,loan_accept,complete,aws-eu-west-1,1300,True,"{'session_index': 3, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e535806376492c40896a253cab2a2a62195278d38e781d40318ba3e917b20908,886472ddcb5de632aa8da8413c4e0729537e15593d48fbbf0dc50e9b8cec9ca4,2026-03-29 18:05:10.331068+00:00,cloud,api,origination,credit_engine,bureau_pull,complete,aws-eu-west-1,1038,True,"{'session_index': 3, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e535806376492c40896a253cab2a2a62195278d38e781d40318ba3e917b20908,886472ddcb5de632aa8da8413c4e0729537e15593d48fbbf0dc50e9b8cec9ca4,2026-03-29 18:06:36.331068+00:00,cloud,api,origination,credit_engine,credit_scoring,complete,aws-eu-west-1,1163,True,"{'session_index': 3, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e535806376492c40896a253cab2a2a62195278d38e781d40318ba3e917b20908,886472ddcb5de632aa8da8413c4e0729537e15593d48fbbf0dc50e9b8cec9ca4,2026-03-29 18:08:24.331068+00:00,cloud,api,origination,loan_engine,loan_offer_view,complete,aws-eu-west-1,594,True,"{'session_index': 3, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e535806376492c40896a253cab2a2a62195278d38e781d40318ba3e917b20908,886472ddcb5de632aa8da8413c4e0729537e15593d48fbbf0dc50e9b8cec9ca4,2026-03-29 18:10:15.331068+00:00,cloud,api,origination,loan_engine,loan_accept,complete,aws-eu-west-1,1213,True,"{'session_index': 3, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,e535806376492c40896a253cab2a2a62195278d38e781d40318ba3e917b20908,886472ddcb5de632aa8da8413c4e0729537e15593d48fbbf0dc50e9b8cec9ca4,2026-03-29 18:14:21.331068+00:00,cloud,api,origination,loan_engine,disbursement,complete,aws-eu-west-1,1842,True,"{'session_index': 3, 'tenant_index': 0}",,0
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,181963dbbf661d1301b45df7f53db2cd2cb13bbda98c7a1045b63b9eaf7db082,f8ac77bf4a8c6c20b1c7fd8c455fe08538aa9f014a8354ba73bdff14ab7d8871,2026-02-16 02:21:48.983461+00:00,cloud,api,origination,loan_engine,login,complete,gcp-us-central1,1306,True,"{'session_index': 4, 'tenant_index': 0}",Doc upload is broken — I get an error every time I try.,1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,181963dbbf661d1301b45df7f53db2cd2cb13bbda98c7a1045b63b9eaf7db082,f8ac77bf4a8c6c20b1c7fd8c455fe08538aa9f014a8354ba73bdff14ab7d8871,2026-02-16 02:24:50.983461+00:00,cloud,api,origination,loan_engine,manual_review,complete,gcp-us-central1,743,True,"{'session_index': 4, 'tenant_index': 0}",,1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,181963dbbf661d1301b45df7f53db2cd2cb13bbda98c7a1045b63b9eaf7db082,f8ac77bf4a8c6c20b1c7fd8c455fe08538aa9f014a8354ba73bdff14ab7d8871,2026-02-16 02:29:39.983461+00:00,cloud,api,origination,loan_engine,income_verification,complete,gcp-us-central1,1080,True,"{'session_index': 4, 'tenant_index': 0}",,1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,181963dbbf661d1301b45df7f53db2cd2cb13bbda98c7a1045b63b9eaf7db082,f8ac77bf4a8c6c20b1c7fd8c455fe08538aa9f014a8354ba73bdff14ab7d8871,2026-02-16 02:31:50.983461+00:00,cloud,api,origination,credit_engine,bureau_pull,complete,gcp-us-central1,119,True,"{'session_index': 4, 'tenant_index': 0}",,1
6f9f23c1c3baf1cf8b98ff7c9f6a898fdc35886ac731f909fd3f87a64e5364ab,181963dbbf661d1301b45df7f53db2cd2cb13bbda98c7a1045b63b9eaf7db082,f8ac77bf4a8c6c20b1c7fd8c455fe08538aa9f014a8354ba73bdff14ab7d8871,2026-02-16 02:33:38.983461+00:00,cloud,api,origination,loan_engine,loan_offer_view,complete,gcp-us-central1,309,True,"{'session_index': 4, 'tenant_index': 0}",,1
